,Parabacteroides distasonis ATCC 8503_0.01.pkl,Bifidobacterium longum strain DSM 20219_0.01.pkl,Ruminococcus gnavus ATCC 29149_0.01.pkl,Bacteroides vulgatus ATCC 8482_0.01.pkl,Lactococcus lactis subsp. lactis Il1403_0.01.pkl
P. distasonis_gapfilled_98,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.04109219738972461, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.041092197453830026, 'EX_cpd00111_e': 0.041092197453830026, 'EX_cpd00028_e': 0.041092197453830026, 'EX_cpd01188_e': 0.041092197453830026, 'EX_cpd00357_e': 0.04109219745380462, 'EX_cpd03847_e': 0.041092197453830026, 'EX_cpd01080_e': 0.041092197453830026, 'EX_cpd00010_e': 0.041092197453830026, 'EX_cpd00264_e': 0.041092197453830026, 'EX_cpd11606_e': 0.041092197453830026, 'EX_cpd00305_e': 0.041092197453830026, 'EX_cpd00129_e': 0.041092197453830026, 'EX_cpd00367_e': 0.04109219745379558}",,,,
P. distasonis_gapfilled_99,"{'EX_cpd00635_e': 0.020546098726803835, 'EX_cpd00023_e': 0.02054609867693234, 'EX_cpd11595_e': 0.020546098726803835, 'EX_cpd00154_e': 0.020546098726877432, 'EX_cpd08306_e': 0.020546098726897107, 'EX_cpd00309_e': 0.020546098726897107, 'EX_cpd00540_e': 0.020546098726897107, 'EX_cpd11597_e': 0.020546098726897107, 'EX_cpd08305_e': 0.020546098726897107, 'EX_cpd00396_e': 0.020546098726897107, 'EX_cpd00039_e': 0.020546098726897107, 'EX_cpd00011_e': 0.020546098726883816, 'EX_cpd00322_e': 0.020546098726898266, 'EX_cpd00111_e': 0.020546098726898266, 'EX_cpd00028_e': 0.020546098726898266, 'EX_cpd01188_e': 0.020546098726898266, 'EX_cpd00357_e': 0.020546098726897787, 'EX_cpd03847_e': 0.020546098726898266, 'EX_cpd01080_e': 0.020546098726898266, 'EX_cpd00010_e': 0.020546098726898266, 'EX_cpd00264_e': 0.020546098726898266, 'EX_cpd11606_e': 0.020546098726898266, 'EX_cpd00305_e': 0.020546098726898266, 'EX_cpd00129_e': 0.020546098726898266, 'EX_cpd00367_e': 0.020546098726803835}",,,,
B. longum subsp. longum_gapfilled_0,,"{'EX_cpd00224_e': 0.00911626496674322, 'EX_cpd00027_e': 0.009116264966599699, 'EX_cpd01171_e': 0.009116264966599699, 'EX_cpd00154_e': 0.009116264966599699, 'EX_cpd00309_e': 0.009116264966610447, 'EX_cpd00108_e': 0.009116264966614359, 'EX_cpd00039_e': 0.009116264966614359, 'EX_cpd00011_e': 0.009116264966614359, 'EX_cpd00322_e': 0.009116264966614359, 'EX_cpd00111_e': 0.009116264966614359, 'EX_cpd00028_e': 0.009116264966614359, 'EX_cpd00066_e': 0.009116264966614359, 'EX_cpd01188_e': 0.009116264966614359, 'EX_cpd00357_e': 0.009116264966485687, 'EX_cpd00136_e': 0.009116264966614359, 'EX_cpd03847_e': 0.009116264966614359, 'EX_cpd01080_e': 0.009116264966614359, 'EX_cpd00010_e': 0.009116264966614359, 'EX_cpd00264_e': 0.009116264966614359, 'EX_cpd11606_e': 0.009116264966614359, 'EX_cpd00069_e': 0.009116264966614359, 'EX_cpd00060_e': 0.009116264966614359, 'EX_cpd00305_e': 0.009116264966614359, 'EX_cpd00129_e': 0.009116264966614359}",,,
B. longum subsp. longum_gapfilled_1,,"{'EX_cpd00224_e': 0.009038943562772907, 'EX_cpd00027_e': 0.009038943562720099, 'EX_cpd01171_e': 0.009038943562787916, 'EX_cpd00154_e': 0.009038943562787916, 'EX_cpd00309_e': 0.009038943562797894, 'EX_cpd00108_e': 0.009038943562787916, 'EX_cpd00039_e': 0.009038943562787916, 'EX_cpd00011_e': 0.009038943562787916, 'EX_cpd00322_e': 0.009038943562787916, 'EX_cpd00111_e': 0.009038943562787916, 'EX_cpd00028_e': 0.009038943562787916, 'EX_cpd00066_e': 0.009038943562787916, 'EX_cpd01188_e': 0.009038943562787916, 'EX_cpd00357_e': 0.009038943562772968, 'EX_cpd00136_e': 0.009038943562787916, 'EX_cpd03847_e': 0.009038943562787916, 'EX_cpd01080_e': 0.009038943562787916, 'EX_cpd00010_e': 0.009038943562787916, 'EX_cpd00264_e': 0.009038943562787916, 'EX_cpd11606_e': 0.009038943562787916, 'EX_cpd00069_e': 0.009038943562787916, 'EX_cpd00060_e': 0.009038943562787916, 'EX_cpd00305_e': 0.009038943562787916, 'EX_cpd00129_e': 0.009038943562787916}",,,
B. longum subsp. longum_gapfilled_2,,"{'EX_cpd00224_e': 0.009059187529961214, 'EX_cpd00027_e': 0.009059187530035045, 'EX_cpd01171_e': 0.009059187530035045, 'EX_cpd00154_e': 0.009059187530035045, 'EX_cpd00309_e': 0.009059187530035045, 'EX_cpd00108_e': 0.009059187530035045, 'EX_cpd00039_e': 0.009059187530035045, 'EX_cpd00011_e': 0.009059187530035045, 'EX_cpd00322_e': 0.009059187530035045, 'EX_cpd00111_e': 0.009059187530035045, 'EX_cpd00028_e': 0.009059187530035045, 'EX_cpd00066_e': 0.009059187530035045, 'EX_cpd01188_e': 0.009059187530035045, 'EX_cpd00357_e': 0.009059187529783913, 'EX_cpd00136_e': 0.009059187530035045, 'EX_cpd03847_e': 0.009059187530035045, 'EX_cpd01080_e': 0.009059187530035045, 'EX_cpd00010_e': 0.009059187530035045, 'EX_cpd00264_e': 0.009059187530035045, 'EX_cpd11606_e': 0.009059187530035045, 'EX_cpd00069_e': 0.009059187530035045, 'EX_cpd00060_e': 0.009059187530035045, 'EX_cpd00305_e': 0.009059187530035045, 'EX_cpd00129_e': 0.009059187530035045}",,,
B. longum subsp. longum_gapfilled_3,,"{'EX_cpd00224_e': 0.009543198049601362, 'EX_cpd00027_e': 0.009543198048743045, 'EX_cpd01171_e': 0.009543198048834543, 'EX_cpd00154_e': 0.009543198048834543, 'EX_cpd00309_e': 0.009543198048839085, 'EX_cpd00108_e': 0.00954319804882997, 'EX_cpd00039_e': 0.00954319804882997, 'EX_cpd00011_e': 0.00954319804882997, 'EX_cpd00322_e': 0.00954319804882997, 'EX_cpd00111_e': 0.00954319804882997, 'EX_cpd00028_e': 0.00954319804882997, 'EX_cpd00066_e': 0.00954319804882997, 'EX_cpd01188_e': 0.00954319804882997, 'EX_cpd00357_e': 0.009543198048862141, 'EX_cpd00136_e': 0.00954319804882997, 'EX_cpd03847_e': 0.00954319804882997, 'EX_cpd01080_e': 0.00954319804882997, 'EX_cpd00010_e': 0.00954319804882997, 'EX_cpd00264_e': 0.00954319804882997, 'EX_cpd11606_e': 0.00954319804882997, 'EX_cpd00069_e': 0.00954319804882997, 'EX_cpd00060_e': 0.00954319804882997, 'EX_cpd00305_e': 0.00954319804882997, 'EX_cpd00129_e': 0.00954319804882997}",,,
B. longum subsp. longum_gapfilled_4,,"{'EX_cpd00224_e': 0.009038943562675544, 'EX_cpd00027_e': 0.009038943562757437, 'EX_cpd01171_e': 0.009038943562769094, 'EX_cpd00154_e': 0.009038943562769094, 'EX_cpd00309_e': 0.009038943562769094, 'EX_cpd00108_e': 0.009038943562768718, 'EX_cpd00039_e': 0.009038943562769094, 'EX_cpd00011_e': 0.009038943562769094, 'EX_cpd00322_e': 0.009038943562769094, 'EX_cpd00111_e': 0.009038943562769094, 'EX_cpd00028_e': 0.009038943562769094, 'EX_cpd00066_e': 0.009038943562769094, 'EX_cpd01188_e': 0.009038943562769094, 'EX_cpd00357_e': 0.009038943562670128, 'EX_cpd00136_e': 0.009038943562769094, 'EX_cpd03847_e': 0.009038943562769094, 'EX_cpd01080_e': 0.009038943562769094, 'EX_cpd00010_e': 0.009038943562769094, 'EX_cpd00264_e': 0.009038943562769094, 'EX_cpd11606_e': 0.009038943562769094, 'EX_cpd00069_e': 0.009038943562769094, 'EX_cpd00060_e': 0.009038943562769094, 'EX_cpd00305_e': 0.009038943562769094, 'EX_cpd00129_e': 0.009038943562769094}",,,
B. longum subsp. longum_gapfilled_5,,"{'EX_cpd00224_e': 0.009129668754912845, 'EX_cpd00027_e': 0.009129668754806173, 'EX_cpd01171_e': 0.00912966875482376, 'EX_cpd00154_e': 0.00912966875482376, 'EX_cpd00309_e': 0.00912966875482376, 'EX_cpd00108_e': 0.00912966875482376, 'EX_cpd00039_e': 0.00912966875482376, 'EX_cpd00011_e': 0.00912966875482376, 'EX_cpd00322_e': 0.00912966875482376, 'EX_cpd00111_e': 0.00912966875482376, 'EX_cpd00028_e': 0.00912966875482376, 'EX_cpd00066_e': 0.00912966875482376, 'EX_cpd01188_e': 0.00912966875482376, 'EX_cpd00357_e': 0.00912966875498557, 'EX_cpd00136_e': 0.00912966875482376, 'EX_cpd03847_e': 0.00912966875482376, 'EX_cpd01080_e': 0.00912966875482376, 'EX_cpd00010_e': 0.00912966875482376, 'EX_cpd00264_e': 0.00912966875482376, 'EX_cpd11606_e': 0.00912966875482376, 'EX_cpd00069_e': 0.00912966875482376, 'EX_cpd00060_e': 0.00912966875482376, 'EX_cpd00305_e': 0.00912966875482376, 'EX_cpd00129_e': 0.00912966875482376}",,,
B. longum subsp. longum_gapfilled_6,,"{'EX_cpd00224_e': 0.009109108919969326, 'EX_cpd00027_e': 0.009109108920345818, 'EX_cpd01171_e': 0.009109108920302894, 'EX_cpd00154_e': 0.009109108920302894, 'EX_cpd00309_e': 0.009109108920364286, 'EX_cpd00108_e': 0.009109108920302894, 'EX_cpd00039_e': 0.009109108920302894, 'EX_cpd00011_e': 0.009109108920302894, 'EX_cpd00322_e': 0.009109108920302894, 'EX_cpd00111_e': 0.009109108920302894, 'EX_cpd00028_e': 0.009109108920302894, 'EX_cpd00066_e': 0.009109108920302894, 'EX_cpd01188_e': 0.009109108920302894, 'EX_cpd00357_e': 0.009109108920437583, 'EX_cpd00136_e': 0.009109108920302894, 'EX_cpd03847_e': 0.009109108920302894, 'EX_cpd01080_e': 0.009109108920302894, 'EX_cpd00010_e': 0.009109108920302894, 'EX_cpd00264_e': 0.009109108920302894, 'EX_cpd11606_e': 0.009109108920302894, 'EX_cpd00069_e': 0.009109108920302894, 'EX_cpd00060_e': 0.009109108920302894, 'EX_cpd00305_e': 0.009109108920302894, 'EX_cpd00129_e': 0.009109108920302894}",,,
B. longum subsp. longum_gapfilled_7,,"{'EX_cpd00224_e': 0.009059187530332241, 'EX_cpd00027_e': 0.00905918752994824, 'EX_cpd01171_e': 0.00905918752994824, 'EX_cpd00154_e': 0.00905918752994824, 'EX_cpd00309_e': 0.00905918752994824, 'EX_cpd00108_e': 0.00905918752994824, 'EX_cpd00039_e': 0.00905918752994824, 'EX_cpd00011_e': 0.00905918752994824, 'EX_cpd00322_e': 0.00905918752994824, 'EX_cpd00111_e': 0.00905918752994824, 'EX_cpd00028_e': 0.00905918752994824, 'EX_cpd00066_e': 0.00905918752994824, 'EX_cpd01188_e': 0.00905918752994824, 'EX_cpd00357_e': 0.009059187529932369, 'EX_cpd00136_e': 0.00905918752994824, 'EX_cpd03847_e': 0.00905918752994824, 'EX_cpd01080_e': 0.00905918752994824, 'EX_cpd00010_e': 0.00905918752994824, 'EX_cpd00264_e': 0.00905918752994824, 'EX_cpd11606_e': 0.00905918752994824, 'EX_cpd00069_e': 0.00905918752994824, 'EX_cpd00060_e': 0.00905918752994824, 'EX_cpd00305_e': 0.00905918752994824, 'EX_cpd00129_e': 0.00905918752994824}",,,
B. longum subsp. longum_gapfilled_8,,"{'EX_cpd00224_e': 0.009109108920436716, 'EX_cpd00027_e': 0.009109108920336952, 'EX_cpd01171_e': 0.009109108920338836, 'EX_cpd00154_e': 0.009109108920338836, 'EX_cpd00309_e': 0.00910910892030194, 'EX_cpd00108_e': 0.00910910892034163, 'EX_cpd00039_e': 0.00910910892034163, 'EX_cpd00011_e': 0.00910910892034163, 'EX_cpd00322_e': 0.00910910892034163, 'EX_cpd00111_e': 0.00910910892034163, 'EX_cpd00028_e': 0.00910910892034163, 'EX_cpd00066_e': 0.00910910892034163, 'EX_cpd01188_e': 0.00910910892034163, 'EX_cpd00357_e': 0.009109108920198634, 'EX_cpd00136_e': 0.00910910892034163, 'EX_cpd03847_e': 0.00910910892034163, 'EX_cpd01080_e': 0.00910910892034163, 'EX_cpd00010_e': 0.00910910892034163, 'EX_cpd00264_e': 0.00910910892034163, 'EX_cpd11606_e': 0.00910910892034163, 'EX_cpd00069_e': 0.00910910892034163, 'EX_cpd00060_e': 0.00910910892034163, 'EX_cpd00305_e': 0.00910910892034163, 'EX_cpd00129_e': 0.00910910892034163}",,,
B. longum subsp. longum_gapfilled_9,,"{'EX_cpd00224_e': 0.009136857153593738, 'EX_cpd00027_e': 0.009136857153601548, 'EX_cpd01171_e': 0.009136857152981749, 'EX_cpd00154_e': 0.009136857152981749, 'EX_cpd00309_e': 0.009136857153312928, 'EX_cpd00108_e': 0.009136857152984708, 'EX_cpd00039_e': 0.009136857152984708, 'EX_cpd00011_e': 0.009136857152984708, 'EX_cpd00322_e': 0.009136857152984708, 'EX_cpd00111_e': 0.009136857152984708, 'EX_cpd00028_e': 0.009136857152984708, 'EX_cpd00066_e': 0.009136857152984708, 'EX_cpd01188_e': 0.009136857152984708, 'EX_cpd00357_e': 0.009136857153626445, 'EX_cpd00136_e': 0.009136857152984708, 'EX_cpd03847_e': 0.009136857152984708, 'EX_cpd01080_e': 0.009136857152984708, 'EX_cpd00010_e': 0.009136857152984708, 'EX_cpd00264_e': 0.009136857152984708, 'EX_cpd11606_e': 0.009136857152984708, 'EX_cpd00069_e': 0.009136857152984708, 'EX_cpd00060_e': 0.009136857152984708, 'EX_cpd00305_e': 0.009136857152984708, 'EX_cpd00129_e': 0.009136857152984708}",,,
B. longum subsp. longum_gapfilled_10,,"{'EX_cpd00224_e': 0.009109108920425461, 'EX_cpd00027_e': 0.009109108915708864, 'EX_cpd01171_e': 0.009109108920425461, 'EX_cpd00154_e': 0.009109108920425461, 'EX_cpd00309_e': 0.009109108920425461, 'EX_cpd00108_e': 0.009109108915912111, 'EX_cpd00039_e': 0.009109108920425461, 'EX_cpd00011_e': 0.009109108920425461, 'EX_cpd00322_e': 0.009109108920425461, 'EX_cpd00111_e': 0.009109108920425461, 'EX_cpd00028_e': 0.009109108920425461, 'EX_cpd00066_e': 0.009109108920425461, 'EX_cpd01188_e': 0.009109108920425461, 'EX_cpd00357_e': 0.009109108920425461, 'EX_cpd00136_e': 0.009109108920425461, 'EX_cpd03847_e': 0.009109108920425461, 'EX_cpd01080_e': 0.009109108920425461, 'EX_cpd00010_e': 0.009109108920425461, 'EX_cpd00264_e': 0.009109108920425461, 'EX_cpd11606_e': 0.009109108920425461, 'EX_cpd00069_e': 0.009109108920425461, 'EX_cpd00060_e': 0.009109108920425461, 'EX_cpd00305_e': 0.009109108920425461, 'EX_cpd00129_e': 0.009109108920425461}",,,
B. longum subsp. longum_gapfilled_11,,"{'EX_cpd00224_e': 0.00975718614176983, 'EX_cpd00027_e': 0.00975718614161799, 'EX_cpd01171_e': 0.009757186141670487, 'EX_cpd00154_e': 0.009757186141670487, 'EX_cpd00309_e': 0.009757186141670487, 'EX_cpd00108_e': 0.009757186141670487, 'EX_cpd00039_e': 0.009757186141670487, 'EX_cpd00011_e': 0.009757186141670487, 'EX_cpd00322_e': 0.009757186141670487, 'EX_cpd00111_e': 0.009757186141670487, 'EX_cpd00028_e': 0.009757186141670487, 'EX_cpd00066_e': 0.009757186141670487, 'EX_cpd01188_e': 0.009757186141670487, 'EX_cpd00357_e': 0.009757186141732151, 'EX_cpd00136_e': 0.009757186141670487, 'EX_cpd03847_e': 0.009757186141670487, 'EX_cpd01080_e': 0.009757186141670487, 'EX_cpd00010_e': 0.009757186141670487, 'EX_cpd00264_e': 0.009757186141670487, 'EX_cpd11606_e': 0.009757186141670487, 'EX_cpd00069_e': 0.009757186141670487, 'EX_cpd00060_e': 0.009757186141670487, 'EX_cpd00305_e': 0.009757186141670487, 'EX_cpd00129_e': 0.009757186141670487}",,,
B. longum subsp. longum_gapfilled_12,,"{'EX_cpd00224_e': 0.009038943562832613, 'EX_cpd00027_e': 0.009038943562832613, 'EX_cpd01171_e': 0.009038943562832613, 'EX_cpd00154_e': 0.009038943562832613, 'EX_cpd00309_e': 0.009038943562832613, 'EX_cpd00108_e': 0.009038943562832613, 'EX_cpd00039_e': 0.009038943562832613, 'EX_cpd00011_e': 0.009038943562832613, 'EX_cpd00322_e': 0.009038943562832613, 'EX_cpd00111_e': 0.009038943562832613, 'EX_cpd00028_e': 0.009038943562832613, 'EX_cpd00066_e': 0.009038943562832613, 'EX_cpd01188_e': 0.009038943562832613, 'EX_cpd00357_e': 0.009038943562832613, 'EX_cpd00136_e': 0.009038943562832613, 'EX_cpd03847_e': 0.009038943562832613, 'EX_cpd01080_e': 0.009038943562832613, 'EX_cpd00010_e': 0.009038943562832613, 'EX_cpd00264_e': 0.009038943562832613, 'EX_cpd11606_e': 0.009038943562832613, 'EX_cpd00069_e': 0.009038943562832613, 'EX_cpd00060_e': 0.009038943562832613, 'EX_cpd00305_e': 0.009038943562832613, 'EX_cpd00129_e': 0.009038943562832613}",,,
B. longum subsp. longum_gapfilled_13,,"{'EX_cpd00224_e': 0.009116264966432936, 'EX_cpd00027_e': 0.009116264966421986, 'EX_cpd01171_e': 0.009116264966487039, 'EX_cpd00154_e': 0.009116264966487039, 'EX_cpd00309_e': 0.009116264966507557, 'EX_cpd00108_e': 0.009116264966487039, 'EX_cpd00039_e': 0.009116264966487039, 'EX_cpd00011_e': 0.009116264966487039, 'EX_cpd00322_e': 0.009116264966487039, 'EX_cpd00111_e': 0.009116264966487039, 'EX_cpd00028_e': 0.009116264966487039, 'EX_cpd00066_e': 0.009116264966487039, 'EX_cpd01188_e': 0.009116264966487039, 'EX_cpd00357_e': 0.009116264966521943, 'EX_cpd00136_e': 0.009116264966487039, 'EX_cpd03847_e': 0.009116264966487039, 'EX_cpd01080_e': 0.009116264966487039, 'EX_cpd00010_e': 0.009116264966487039, 'EX_cpd00264_e': 0.009116264966487039, 'EX_cpd11606_e': 0.009116264966487039, 'EX_cpd00069_e': 0.009116264966487039, 'EX_cpd00060_e': 0.009116264966487039, 'EX_cpd00305_e': 0.009116264966487039, 'EX_cpd00129_e': 0.009116264966487039}",,,
B. longum subsp. longum_gapfilled_14,,"{'EX_cpd00224_e': 0.009109108920186376, 'EX_cpd00027_e': 0.009109108920396472, 'EX_cpd01171_e': 0.009109108920186376, 'EX_cpd00154_e': 0.009109108920186376, 'EX_cpd00309_e': 0.009109108920186376, 'EX_cpd00108_e': 0.009109108920186376, 'EX_cpd00039_e': 0.009109108920186376, 'EX_cpd00011_e': 0.009109108920186376, 'EX_cpd00322_e': 0.009109108920186376, 'EX_cpd00111_e': 0.009109108920186376, 'EX_cpd00028_e': 0.009109108920186376, 'EX_cpd00066_e': 0.009109108920186376, 'EX_cpd01188_e': 0.009109108920186376, 'EX_cpd00357_e': 0.009109108920186376, 'EX_cpd00136_e': 0.009109108920186376, 'EX_cpd03847_e': 0.009109108920186376, 'EX_cpd01080_e': 0.009109108920186376, 'EX_cpd00010_e': 0.009109108920186376, 'EX_cpd00264_e': 0.009109108920186376, 'EX_cpd11606_e': 0.009109108920186376, 'EX_cpd00069_e': 0.009109108920186376, 'EX_cpd00060_e': 0.009109108920186376, 'EX_cpd00305_e': 0.009109108920186376, 'EX_cpd00129_e': 0.009109108920186376}",,,
B. longum subsp. longum_gapfilled_15,,"{'EX_cpd00224_e': 0.009038943562675417, 'EX_cpd00027_e': 0.009038943562814476, 'EX_cpd01171_e': 0.009038943562814476, 'EX_cpd00154_e': 0.009038943562814476, 'EX_cpd00309_e': 0.009038943562851585, 'EX_cpd00108_e': 0.009038943562848283, 'EX_cpd00039_e': 0.009038943562848283, 'EX_cpd00011_e': 0.009038943562848283, 'EX_cpd00322_e': 0.009038943562848283, 'EX_cpd00111_e': 0.009038943562848283, 'EX_cpd00028_e': 0.009038943562848283, 'EX_cpd00066_e': 0.009038943562848283, 'EX_cpd01188_e': 0.009038943562848283, 'EX_cpd00357_e': 0.009038943562768761, 'EX_cpd00136_e': 0.009038943562848283, 'EX_cpd03847_e': 0.009038943562848283, 'EX_cpd01080_e': 0.009038943562848283, 'EX_cpd00010_e': 0.009038943562848283, 'EX_cpd00264_e': 0.009038943562848283, 'EX_cpd11606_e': 0.009038943562848283, 'EX_cpd00069_e': 0.009038943562848283, 'EX_cpd00060_e': 0.009038943562848283, 'EX_cpd00305_e': 0.009038943562848283, 'EX_cpd00129_e': 0.009038943562848283}",,,
B. longum subsp. longum_gapfilled_16,,"{'EX_cpd00224_e': 0.009543198048739134, 'EX_cpd00027_e': 0.009543198048874577, 'EX_cpd01171_e': 0.009543198048774322, 'EX_cpd00154_e': 0.009543198048774322, 'EX_cpd00309_e': 0.009543198048848575, 'EX_cpd00108_e': 0.009543198048772067, 'EX_cpd00039_e': 0.009543198048772067, 'EX_cpd00011_e': 0.009543198048772067, 'EX_cpd00322_e': 0.009543198048772067, 'EX_cpd00111_e': 0.009543198048772067, 'EX_cpd00028_e': 0.009543198048772067, 'EX_cpd00066_e': 0.009543198048772067, 'EX_cpd01188_e': 0.009543198048772067, 'EX_cpd00357_e': 0.009543198048951644, 'EX_cpd00136_e': 0.009543198048772067, 'EX_cpd03847_e': 0.009543198048772067, 'EX_cpd01080_e': 0.009543198048772067, 'EX_cpd00010_e': 0.009543198048772067, 'EX_cpd00264_e': 0.009543198048772067, 'EX_cpd11606_e': 0.009543198048772067, 'EX_cpd00069_e': 0.009543198048772067, 'EX_cpd00060_e': 0.009543198048772067, 'EX_cpd00305_e': 0.009543198048772067, 'EX_cpd00129_e': 0.009543198048772067}",,,
B. longum subsp. longum_gapfilled_17,,"{'EX_cpd00224_e': 0.009038943587869663, 'EX_cpd00027_e': 0.009038943562687954, 'EX_cpd01171_e': 0.009038943562687954, 'EX_cpd00154_e': 0.009038943562687954, 'EX_cpd00309_e': 0.009038943562791477, 'EX_cpd00108_e': 0.009038943562687954, 'EX_cpd00039_e': 0.009038943562687954, 'EX_cpd00011_e': 0.009038943562687954, 'EX_cpd00322_e': 0.009038943562687954, 'EX_cpd00111_e': 0.009038943562687954, 'EX_cpd00028_e': 0.009038943562687954, 'EX_cpd00066_e': 0.009038943562687954, 'EX_cpd01188_e': 0.009038943562687954, 'EX_cpd00357_e': 0.009038943562673488, 'EX_cpd00136_e': 0.009038943562687954, 'EX_cpd03847_e': 0.009038943562687954, 'EX_cpd01080_e': 0.009038943562687954, 'EX_cpd00010_e': 0.009038943562687954, 'EX_cpd00264_e': 0.009038943562687954, 'EX_cpd11606_e': 0.009038943562687954, 'EX_cpd00069_e': 0.009038943562687954, 'EX_cpd00060_e': 0.009038943562687954, 'EX_cpd00305_e': 0.009038943562687954, 'EX_cpd00129_e': 0.009038943562687954}",,,
B. longum subsp. longum_gapfilled_18,,"{'EX_cpd00224_e': 0.009346871918184958, 'EX_cpd00027_e': 0.009346871918189793, 'EX_cpd01171_e': 0.009346871918224036, 'EX_cpd00154_e': 0.009346871918224036, 'EX_cpd00309_e': 0.009346871918224033, 'EX_cpd00108_e': 0.009346871918224036, 'EX_cpd00039_e': 0.009346871918224036, 'EX_cpd00011_e': 0.009346871918224036, 'EX_cpd00322_e': 0.009346871918224036, 'EX_cpd00111_e': 0.009346871918224036, 'EX_cpd00028_e': 0.009346871918224036, 'EX_cpd00066_e': 0.009346871918224036, 'EX_cpd01188_e': 0.009346871918224036, 'EX_cpd00357_e': 0.009346871918175553, 'EX_cpd00136_e': 0.009346871918224036, 'EX_cpd03847_e': 0.009346871918224036, 'EX_cpd01080_e': 0.009346871918224036, 'EX_cpd00010_e': 0.009346871918224036, 'EX_cpd00264_e': 0.009346871918224036, 'EX_cpd11606_e': 0.009346871918224036, 'EX_cpd00069_e': 0.009346871918224036, 'EX_cpd00060_e': 0.009346871918224036, 'EX_cpd00305_e': 0.009346871918224036, 'EX_cpd00129_e': 0.009346871918224036}",,,
B. longum subsp. longum_gapfilled_19,,"{'EX_cpd00224_e': 0.009038943562855648, 'EX_cpd00027_e': 0.009038943562825743, 'EX_cpd01171_e': 0.009038943562880502, 'EX_cpd00154_e': 0.009038943562880502, 'EX_cpd00309_e': 0.009038943562876937, 'EX_cpd00108_e': 0.009038943562880502, 'EX_cpd00039_e': 0.009038943562880502, 'EX_cpd00011_e': 0.009038943562880502, 'EX_cpd00322_e': 0.009038943562880502, 'EX_cpd00111_e': 0.009038943562880502, 'EX_cpd00028_e': 0.009038943562880502, 'EX_cpd00066_e': 0.009038943562880502, 'EX_cpd01188_e': 0.009038943562880502, 'EX_cpd00357_e': 0.009038943562661411, 'EX_cpd00136_e': 0.009038943562880502, 'EX_cpd03847_e': 0.009038943562880502, 'EX_cpd01080_e': 0.009038943562880502, 'EX_cpd00010_e': 0.009038943562880502, 'EX_cpd00264_e': 0.009038943562880502, 'EX_cpd11606_e': 0.009038943562880502, 'EX_cpd00069_e': 0.009038943562880502, 'EX_cpd00060_e': 0.009038943562880502, 'EX_cpd00305_e': 0.009038943562880502, 'EX_cpd00129_e': 0.009038943562880502}",,,
B. longum subsp. longum_gapfilled_20,,"{'EX_cpd00224_e': 0.009766085483076442, 'EX_cpd00027_e': 0.009766085483150791, 'EX_cpd01171_e': 0.009766085483146104, 'EX_cpd00154_e': 0.009766085483146104, 'EX_cpd00309_e': 0.009766085483146109, 'EX_cpd00108_e': 0.009766085483131624, 'EX_cpd00039_e': 0.009766085483131624, 'EX_cpd00011_e': 0.009766085483131624, 'EX_cpd00322_e': 0.009766085483131624, 'EX_cpd00111_e': 0.009766085483131624, 'EX_cpd00028_e': 0.009766085483131624, 'EX_cpd00066_e': 0.009766085483131624, 'EX_cpd01188_e': 0.009766085483131624, 'EX_cpd00357_e': 0.009766085483071712, 'EX_cpd00136_e': 0.009766085483131624, 'EX_cpd03847_e': 0.009766085483131624, 'EX_cpd01080_e': 0.009766085483131624, 'EX_cpd00010_e': 0.009766085483131624, 'EX_cpd00264_e': 0.009766085483131624, 'EX_cpd11606_e': 0.009766085483131624, 'EX_cpd00069_e': 0.009766085483131624, 'EX_cpd00060_e': 0.009766085483131624, 'EX_cpd00305_e': 0.009766085483131624, 'EX_cpd00129_e': 0.009766085483131624}",,,
