,Bacteroides vulgatus ATCC 8482_0.4.pkl,Lactobacillus plantarum WCFS1_0.4.pkl
B. vulgatus_gapfilled_38,"{'EX_cpd00635_e': 0.11241077638666787, 'EX_cpd00023_e': 0.11241077638267152, 'EX_cpd00224_e': 0.11241077638267152, 'EX_cpd11595_e': 0.11241077638666787, 'EX_cpd01217_e': 0.11241077640721121, 'EX_cpd00027_e': 0.11241077638764198, 'EX_cpd01171_e': 0.11241077638666787, 'EX_cpd00154_e': 0.1124107763859368, 'EX_cpd08306_e': 0.11241077638666787, 'EX_cpd00164_e': 0.11241077638666787, 'EX_cpd00309_e': 0.11241077638666787, 'EX_cpd00280_e': 0.11241077638666787, 'EX_cpd00108_e': 0.11241077638666787, 'EX_cpd00159_e': 0.11241077638340205, 'EX_cpd00540_e': 0.11241077638666787, 'EX_cpd11597_e': 0.11241077638666787, 'EX_cpd08305_e': 0.11241077638666787, 'EX_cpd00396_e': 0.11241077638666787, 'EX_cpd00039_e': 0.11241077638666787, 'EX_cpd00011_e': 0.11241077638666787, 'EX_cpd00322_e': 0.11241077638340187, 'EX_cpd00111_e': 0.11241077638340187, 'EX_cpd00028_e': 0.11241077638666787, 'EX_cpd00066_e': 0.11241077638340187, 'EX_cpd01188_e': 0.11241077638666787, 'EX_cpd00357_e': 0.11241077638340205, 'EX_cpd00136_e': 0.11241077638666787, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.11241077638340187, 'EX_cpd03422_e': 0.11241077638666787, 'EX_cpd00010_e': 0.11241077638666787, 'EX_cpd00264_e': 0.11241077638340187, 'EX_cpd11606_e': 0.11241077638340187, 'EX_cpd00069_e': 0.11241077638666787, 'EX_cpd00060_e': 0.11241077638666787, 'EX_cpd00305_e': 0.11241077638340187}",
B. vulgatus_gapfilled_39,"{'EX_cpd00635_e': 0.4313454427549415, 'EX_cpd00023_e': 0.431345442740523, 'EX_cpd00224_e': 0.431345442740523, 'EX_cpd11595_e': 0.4313454427549415, 'EX_cpd01217_e': 0.431345442740523, 'EX_cpd00027_e': 0.4313454427549415, 'EX_cpd01171_e': 0.4313454427549415, 'EX_cpd00154_e': 0.4313454427549415, 'EX_cpd08306_e': 0.4313454427549415, 'EX_cpd00164_e': 0.4313454427549415, 'EX_cpd00309_e': 0.4313454427549415, 'EX_cpd00280_e': 0.4313454427549415, 'EX_cpd00108_e': 0.4313454427561556, 'EX_cpd00159_e': 0.43134544274047343, 'EX_cpd00540_e': 0.4313454427549415, 'EX_cpd11597_e': 0.4313454427549415, 'EX_cpd08305_e': 0.4313454427549415, 'EX_cpd00396_e': 0.4313454427549415, 'EX_cpd00039_e': 0.4313454427549415, 'EX_cpd00011_e': 0.4313454427549415, 'EX_cpd00322_e': 1.010422456293061, 'EX_cpd00111_e': 0.4313454427549415, 'EX_cpd00028_e': 0.4313454427549415, 'EX_cpd00066_e': 0.4313454427549415, 'EX_cpd01188_e': 0.4313454427549415, 'EX_cpd00357_e': 0.43134544274241204, 'EX_cpd00136_e': 0.4313454427549415, 'EX_cpd03847_e': 0.4313454427549415, 'EX_cpd01080_e': 0.431345442757301, 'EX_cpd03422_e': 0.4313454427549415, 'EX_cpd00010_e': 0.4313454427549415, 'EX_cpd00264_e': 0.43134544275768305, 'EX_cpd11606_e': 0.43134544275784326, 'EX_cpd00069_e': 0.4313454427549415, 'EX_cpd00060_e': 0.43134544275372744, 'EX_cpd00305_e': 0.43134544275768305}",
B. vulgatus_gapfilled_40,"{'EX_cpd00635_e': 0.28101608066688805, 'EX_cpd00023_e': 0.28101608066650247, 'EX_cpd00224_e': 0.28101608065433914, 'EX_cpd11595_e': 0.28101608066688805, 'EX_cpd01217_e': 0.2810160806540297, 'EX_cpd00027_e': 0.28101608066703104, 'EX_cpd01171_e': 0.2810160806496549, 'EX_cpd00154_e': 0.2810160806499409, 'EX_cpd08306_e': 0.28101608064969064, 'EX_cpd00164_e': 0.28101608064969064, 'EX_cpd00309_e': 0.281016080650513, 'EX_cpd00280_e': 0.28101608064969064, 'EX_cpd00108_e': 0.28101608064969064, 'EX_cpd00159_e': 0.2810160806609646, 'EX_cpd00540_e': 0.28101608064969064, 'EX_cpd11597_e': 0.28101608064969064, 'EX_cpd08305_e': 0.28101608064969064, 'EX_cpd00396_e': 0.28101608064969064, 'EX_cpd00039_e': 0.28101608064969064, 'EX_cpd00011_e': 0.2810160806671741, 'EX_cpd00322_e': 1.1883133482456085, 'EX_cpd00111_e': 0.28101608066703104, 'EX_cpd00028_e': 0.28101608066703104, 'EX_cpd00066_e': 0.28101608066703104, 'EX_cpd01188_e': 0.28101608066674505, 'EX_cpd00357_e': 0.28101608066196904, 'EX_cpd00136_e': 0.28101608066703104, 'EX_cpd03847_e': 0.28101608066703104, 'EX_cpd01080_e': 0.28101608066703104, 'EX_cpd03422_e': 0.28101608066703104, 'EX_cpd00010_e': 0.28101608066703104, 'EX_cpd00264_e': 0.28101608066695194, 'EX_cpd11606_e': 0.28101608066695194, 'EX_cpd00069_e': 0.28101608066703104, 'EX_cpd00060_e': 0.28101608066703104, 'EX_cpd00305_e': 0.28101608066695194}",
B. vulgatus_gapfilled_41,"{'EX_cpd00635_e': 0.9016601964504943, 'EX_cpd00023_e': 0.9016601963549641, 'EX_cpd00224_e': 0.9016601964504791, 'EX_cpd11595_e': 0.9016601964504943, 'EX_cpd01217_e': 0.9016601964951446, 'EX_cpd00027_e': 0.9016601964504943, 'EX_cpd01171_e': 0.9016601964504943, 'EX_cpd00154_e': 0.9016601964504943, 'EX_cpd08306_e': 0.9016601964504943, 'EX_cpd00164_e': 0.9016601964504943, 'EX_cpd00309_e': 0.9016601964504941, 'EX_cpd00280_e': 0.9016601964504943, 'EX_cpd00108_e': 0.9016601964504943, 'EX_cpd00159_e': 0.9016601964582904, 'EX_cpd00540_e': 0.9016601964504943, 'EX_cpd11597_e': 0.9016601964504943, 'EX_cpd08305_e': 0.9016601964504943, 'EX_cpd00396_e': 0.9016601964504943, 'EX_cpd00039_e': 0.9016601964504943, 'EX_cpd00011_e': 0.9016601964504943, 'EX_cpd00322_e': 0.9016601964502658, 'EX_cpd00111_e': 0.9016601964502658, 'EX_cpd00028_e': 0.9016601964504943, 'EX_cpd00066_e': 0.9016601964504943, 'EX_cpd01188_e': 0.9016601964504943, 'EX_cpd00357_e': 1.1883133482472812, 'EX_cpd00136_e': 0.9016601964504943, 'EX_cpd03847_e': 0.9016601964504943, 'EX_cpd01080_e': 0.9016601964502658, 'EX_cpd03422_e': 0.9016601964504943, 'EX_cpd00010_e': 0.9016601964504943, 'EX_cpd00264_e': 0.9016601964502658, 'EX_cpd11606_e': 0.9016601964502658, 'EX_cpd00069_e': 0.9016601964504943, 'EX_cpd00060_e': 0.9016601964504943, 'EX_cpd00305_e': 0.9016601964502658}",
B. vulgatus_gapfilled_42,"{'EX_cpd00635_e': 0.9016601964504944, 'EX_cpd00023_e': 0.9016601966336454, 'EX_cpd00224_e': 0.9016601964504943, 'EX_cpd11595_e': 0.9016601964504944, 'EX_cpd01217_e': 0.901660196450629, 'EX_cpd00027_e': 0.9016601964504944, 'EX_cpd01171_e': 0.9016601964504944, 'EX_cpd00154_e': 0.9016601964504944, 'EX_cpd08306_e': 0.9016601964504944, 'EX_cpd00164_e': 0.9016601964504944, 'EX_cpd00309_e': 0.9016601964504944, 'EX_cpd00280_e': 0.9016601964504944, 'EX_cpd00108_e': 0.9016601964504944, 'EX_cpd00159_e': 0.9016601964561417, 'EX_cpd00540_e': 0.9016601964504944, 'EX_cpd11597_e': 0.9016601964504944, 'EX_cpd08305_e': 0.9016601964504944, 'EX_cpd00396_e': 0.9016601964504944, 'EX_cpd00039_e': 0.9016601964504944, 'EX_cpd00011_e': 0.9016601964504944, 'EX_cpd00322_e': 0.9016601964504944, 'EX_cpd00111_e': 0.9016601964504944, 'EX_cpd00028_e': 0.9016601964504944, 'EX_cpd00066_e': 0.9016601964504944, 'EX_cpd01188_e': 0.9016601964504944, 'EX_cpd00357_e': 1.1883133482448258, 'EX_cpd00136_e': 0.9016601964504944, 'EX_cpd03847_e': 0.9016601964504944, 'EX_cpd01080_e': 0.9016601964504944, 'EX_cpd03422_e': 0.9016601964504944, 'EX_cpd00010_e': 0.9016601964504944, 'EX_cpd00264_e': 0.9016601964504944, 'EX_cpd11606_e': 0.9016601964504944, 'EX_cpd00069_e': 0.9016601964504944, 'EX_cpd00060_e': 0.9016601964504944, 'EX_cpd00305_e': 0.9016601964504944}",
B. vulgatus_gapfilled_43,"{'EX_cpd00635_e': 0.19604543010750988, 'EX_cpd00023_e': 0.19604543010766856, 'EX_cpd00224_e': 0.19604543010752765, 'EX_cpd11595_e': 0.19604543010750988, 'EX_cpd01217_e': 0.19604543010752765, 'EX_cpd00027_e': 0.19604543010754935, 'EX_cpd01171_e': 0.19604543010750988, 'EX_cpd00154_e': 0.19604543010756534, 'EX_cpd08306_e': 0.19604543010750988, 'EX_cpd00164_e': 0.19604543010750988, 'EX_cpd00309_e': 0.19604543010750988, 'EX_cpd00280_e': 0.19604543010750988, 'EX_cpd00108_e': 0.19604543010750988, 'EX_cpd00159_e': 0.19604543010752765, 'EX_cpd00540_e': 0.19604543010750988, 'EX_cpd11597_e': 0.19604543010750988, 'EX_cpd08305_e': 0.19604543010750988, 'EX_cpd00396_e': 0.19604543010753708, 'EX_cpd00039_e': 0.19604543010750988, 'EX_cpd00011_e': 0.19604543010750988, 'EX_cpd00322_e': 0.19604543010754513, 'EX_cpd00111_e': 0.19604543010750988, 'EX_cpd00028_e': 0.19604543010750988, 'EX_cpd00066_e': 0.19604543010750988, 'EX_cpd01188_e': 0.19604543010750988, 'EX_cpd00357_e': 0.19604543010752765, 'EX_cpd00136_e': 0.19604543010750988, 'EX_cpd03847_e': 0.19604543010750988, 'EX_cpd01080_e': 0.7902507077211639, 'EX_cpd03422_e': 0.19604543010750988, 'EX_cpd00010_e': 0.19604543010750988, 'EX_cpd00264_e': 0.19604543010754513, 'EX_cpd11606_e': 0.19604543010754513, 'EX_cpd00069_e': 0.19604543010750988, 'EX_cpd00060_e': 0.19604543010750988, 'EX_cpd00305_e': 0.19604543010754513}",
B. vulgatus_gapfilled_44,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964503724, 'EX_cpd00224_e': 0.901660196450554, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964504944, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964504944, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.0893726765489162, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}",
B. vulgatus_gapfilled_45,"{'EX_cpd00635_e': 0.5518410994513429, 'EX_cpd00023_e': 0.5518410994689024, 'EX_cpd00224_e': 0.5518410994228006, 'EX_cpd11595_e': 0.5518410994513429, 'EX_cpd01217_e': 0.5518410995282709, 'EX_cpd00027_e': 0.5518410994516811, 'EX_cpd01171_e': 0.5518410994513958, 'EX_cpd00154_e': 0.5518410994513958, 'EX_cpd08306_e': 0.5518410994513958, 'EX_cpd00164_e': 0.5518410994513958, 'EX_cpd00309_e': 0.5518410994513958, 'EX_cpd00280_e': 0.5518410994533618, 'EX_cpd00108_e': 0.5518410994513958, 'EX_cpd00159_e': 0.5518410994719558, 'EX_cpd00540_e': 0.5518410994513958, 'EX_cpd11597_e': 0.5518410994513958, 'EX_cpd08305_e': 0.5518410994513958, 'EX_cpd00396_e': 0.5518410994513958, 'EX_cpd00039_e': 0.5518410994513958, 'EX_cpd00011_e': 0.5518410994513958, 'EX_cpd00322_e': 0.9016601964515705, 'EX_cpd00111_e': 0.5518410994499746, 'EX_cpd00028_e': 0.5518410994513958, 'EX_cpd00066_e': 0.5518410994513958, 'EX_cpd01188_e': 0.5518410994513958, 'EX_cpd00357_e': 0.5518410994692247, 'EX_cpd00136_e': 0.5518410994513958, 'EX_cpd03847_e': 0.5518410994513958, 'EX_cpd01080_e': 0.5518410994513958, 'EX_cpd03422_e': 0.5518410994513958, 'EX_cpd00010_e': 0.5518410994513958, 'EX_cpd00264_e': 0.5518410994520887, 'EX_cpd11606_e': 0.5518410994520887, 'EX_cpd00069_e': 0.5518410994513958, 'EX_cpd00060_e': 0.5518410994518917, 'EX_cpd00305_e': 0.5518410994520887}",
B. vulgatus_gapfilled_46,"{'EX_cpd00635_e': 0.12326434884435487, 'EX_cpd00023_e': 0.12326434884418914, 'EX_cpd00224_e': 0.12326434884585541, 'EX_cpd11595_e': 0.12326434884435487, 'EX_cpd01217_e': 0.1232643488455872, 'EX_cpd00027_e': 0.12326434884173958, 'EX_cpd01171_e': 0.1232643488405623, 'EX_cpd00154_e': 0.12326434884140622, 'EX_cpd08306_e': 0.12326434884129478, 'EX_cpd00164_e': 0.12326434884129478, 'EX_cpd00309_e': 0.12326434884129478, 'EX_cpd00280_e': 0.12326434884129478, 'EX_cpd00108_e': 0.12326434884129478, 'EX_cpd00159_e': 0.12326434884498998, 'EX_cpd00540_e': 0.12326434884129478, 'EX_cpd11597_e': 0.12326434884129478, 'EX_cpd08305_e': 0.12326434884129478, 'EX_cpd00396_e': 0.12326434883906599, 'EX_cpd00039_e': 0.23704528761593782, 'EX_cpd00011_e': 0.12326434884537754, 'EX_cpd00322_e': 0.12326434884542233, 'EX_cpd00111_e': 0.12326434884542233, 'EX_cpd00028_e': 0.12326434884537754, 'EX_cpd00066_e': 0.12326434884542233, 'EX_cpd01188_e': 0.12326434883769678, 'EX_cpd00357_e': 0.1232643488419825, 'EX_cpd00136_e': 0.12326434879075235, 'EX_cpd03847_e': 0.12344407508203596, 'EX_cpd01080_e': 0.12326434884542233, 'EX_cpd03422_e': 0.12326434879075235, 'EX_cpd00010_e': 0.12326434879075235, 'EX_cpd00264_e': 0.12326434884542233, 'EX_cpd11606_e': 0.12326434884542233, 'EX_cpd00069_e': 0.12326434879819652, 'EX_cpd00060_e': 0.1232643488289854, 'EX_cpd00305_e': 0.12326434884542233}",
B. vulgatus_gapfilled_47,"{'EX_cpd00635_e': 0.9016601964567069, 'EX_cpd00023_e': 0.9016601964504068, 'EX_cpd00224_e': 0.9016601964506786, 'EX_cpd11595_e': 0.9016601964567069, 'EX_cpd01217_e': 0.9016601964504068, 'EX_cpd00027_e': 0.9016601964505471, 'EX_cpd01171_e': 0.9016601752522622, 'EX_cpd00154_e': 0.9016601964504944, 'EX_cpd08306_e': 0.9016601964611136, 'EX_cpd00164_e': 0.9016601964611136, 'EX_cpd00309_e': 0.9016601964579881, 'EX_cpd00280_e': 0.9016601964555973, 'EX_cpd00108_e': 0.9016601964555973, 'EX_cpd00159_e': 0.9016601964740407, 'EX_cpd00540_e': 0.9016601964555973, 'EX_cpd11597_e': 0.9016601964555973, 'EX_cpd08305_e': 0.9016601964555973, 'EX_cpd00396_e': 0.9016601964555973, 'EX_cpd00039_e': 0.9016601964555973, 'EX_cpd00011_e': 0.9016601964555973, 'EX_cpd00322_e': 0.901660196462929, 'EX_cpd00111_e': 0.9016601964555973, 'EX_cpd00028_e': 0.9016601964555973, 'EX_cpd00066_e': 0.9016601964588297, 'EX_cpd01188_e': 0.9016601964555973, 'EX_cpd00357_e': 2.696621794872542, 'EX_cpd00136_e': 0.9016601964555973, 'EX_cpd03847_e': 0.9016601964555973, 'EX_cpd01080_e': 0.9016601964555973, 'EX_cpd03422_e': 0.9016601964555973, 'EX_cpd00010_e': 0.9016601964555973, 'EX_cpd00264_e': 0.9016601964555973, 'EX_cpd11606_e': 0.9016601964555973, 'EX_cpd00069_e': 0.9016601964555973, 'EX_cpd00060_e': 0.9016601964555973, 'EX_cpd00305_e': 0.9016601964555973}",
B. vulgatus_gapfilled_48,"{'EX_cpd00635_e': 0.46268696390091424, 'EX_cpd00023_e': 0.46268696389553804, 'EX_cpd00224_e': 0.46268696389797054, 'EX_cpd11595_e': 0.46268696390091424, 'EX_cpd01217_e': 0.46268696389797054, 'EX_cpd00027_e': 0.46268696388623637, 'EX_cpd01171_e': 0.46268696390091424, 'EX_cpd00154_e': 0.46268696390091424, 'EX_cpd08306_e': 0.46268696390091424, 'EX_cpd00164_e': 0.46268696390091424, 'EX_cpd00309_e': 0.46268696390091424, 'EX_cpd00280_e': 0.46268696390091424, 'EX_cpd00108_e': 0.46268696390091424, 'EX_cpd00159_e': 0.46268696389797054, 'EX_cpd00540_e': 0.46268696390091424, 'EX_cpd11597_e': 0.46268696390091424, 'EX_cpd08305_e': 0.46268696390091424, 'EX_cpd00396_e': 0.46268696390091424, 'EX_cpd00039_e': 0.46268696390091424, 'EX_cpd00011_e': 0.46268696390091424, 'EX_cpd00322_e': 0.9016601964504097, 'EX_cpd00111_e': 0.4626869639005442, 'EX_cpd00028_e': 0.46268696390091424, 'EX_cpd00066_e': 0.4626869639005442, 'EX_cpd01188_e': 0.46268696390091424, 'EX_cpd00357_e': 0.462686963897934, 'EX_cpd00136_e': 0.46268696390091424, 'EX_cpd03847_e': 0.4626869639005442, 'EX_cpd01080_e': 0.4626869639005442, 'EX_cpd03422_e': 0.4626869639005442, 'EX_cpd00010_e': 0.46268696390091424, 'EX_cpd00264_e': 0.4626869639028687, 'EX_cpd11606_e': 0.4626869639028687, 'EX_cpd00069_e': 0.46268696390091424, 'EX_cpd00060_e': 0.4626869639048612, 'EX_cpd00305_e': 0.4626869639028687}",
B. vulgatus_gapfilled_49,"{'EX_cpd00635_e': 0.9016601964507099, 'EX_cpd00023_e': 0.9016601964506956, 'EX_cpd00224_e': 0.9016601964506956, 'EX_cpd11595_e': 0.9016601964507099, 'EX_cpd01217_e': 0.9016601964491737, 'EX_cpd00027_e': 0.9016601964507099, 'EX_cpd01171_e': 0.9016601964507099, 'EX_cpd00154_e': 0.9016601964507099, 'EX_cpd08306_e': 0.9016601964507099, 'EX_cpd00164_e': 0.9016601964507099, 'EX_cpd00309_e': 0.9016601964507099, 'EX_cpd00280_e': 0.9016601964507099, 'EX_cpd00108_e': 0.9016601964507099, 'EX_cpd00159_e': 0.9016601964513506, 'EX_cpd00540_e': 0.9016601964507099, 'EX_cpd11597_e': 0.9016601964507099, 'EX_cpd08305_e': 0.9016601964507099, 'EX_cpd00396_e': 0.9016601964507099, 'EX_cpd00039_e': 0.9016601964507099, 'EX_cpd00011_e': 0.9016601964507099, 'EX_cpd00322_e': 0.9016601964507099, 'EX_cpd00111_e': 0.9016601964507099, 'EX_cpd00028_e': 0.9016601964507099, 'EX_cpd00066_e': 0.9016601964507099, 'EX_cpd01188_e': 0.9016601964507099, 'EX_cpd00357_e': 1.188313348246168, 'EX_cpd00136_e': 0.9016601964507099, 'EX_cpd03847_e': 0.9016601964507099, 'EX_cpd01080_e': 0.9016601964507099, 'EX_cpd03422_e': 0.9016601964507099, 'EX_cpd00010_e': 0.9016601964507099, 'EX_cpd00264_e': 0.9016601964507099, 'EX_cpd11606_e': 0.9016601964507099, 'EX_cpd00069_e': 0.9016601964507099, 'EX_cpd00060_e': 0.9016601964507099, 'EX_cpd00305_e': 0.9016601964507099}",
B. vulgatus_gapfilled_50,"{'EX_cpd00635_e': 0.9016601964506218, 'EX_cpd00023_e': 0.9016601964483072, 'EX_cpd00224_e': 0.9016601964483072, 'EX_cpd11595_e': 0.9016601964506218, 'EX_cpd01217_e': 0.9016601964547428, 'EX_cpd00027_e': 0.9016601964503762, 'EX_cpd01171_e': 0.9016601964505185, 'EX_cpd00154_e': 0.9016601964506219, 'EX_cpd08306_e': 0.9016601964506219, 'EX_cpd00164_e': 0.9016601964506219, 'EX_cpd00309_e': 0.9016601964506219, 'EX_cpd00280_e': 0.9016601964506219, 'EX_cpd00108_e': 0.9016601964506219, 'EX_cpd00159_e': 0.9016601964504947, 'EX_cpd00540_e': 0.9016601964506219, 'EX_cpd11597_e': 0.9016601964506219, 'EX_cpd08305_e': 0.9016601964506219, 'EX_cpd00396_e': 0.9016601964506219, 'EX_cpd00039_e': 0.9016601964506219, 'EX_cpd00011_e': 0.9016601964506219, 'EX_cpd00322_e': 0.9016601964506219, 'EX_cpd00111_e': 0.9016601964506219, 'EX_cpd00028_e': 0.9016601964506219, 'EX_cpd00066_e': 0.9016601964506219, 'EX_cpd01188_e': 0.9016601964506219, 'EX_cpd00357_e': 2.6966217948713553, 'EX_cpd00136_e': 0.9016601964506219, 'EX_cpd03847_e': 0.9016601964506219, 'EX_cpd01080_e': 0.9016601964506219, 'EX_cpd03422_e': 0.9016601964506219, 'EX_cpd00010_e': 0.9016601964506219, 'EX_cpd00264_e': 0.9016601964506447, 'EX_cpd11606_e': 0.9016601964506219, 'EX_cpd00069_e': 0.9016601964506219, 'EX_cpd00060_e': 0.9016601964506219, 'EX_cpd00305_e': 0.9016601964510789}",
B. vulgatus_gapfilled_51,"{'EX_cpd00635_e': 0.6536739717401135, 'EX_cpd00023_e': 0.6536739717431407, 'EX_cpd00224_e': 0.6536739717400639, 'EX_cpd11595_e': 0.6536739717401135, 'EX_cpd01217_e': 0.6536739717400666, 'EX_cpd00027_e': 0.6536739717401135, 'EX_cpd01171_e': 0.6536739717401135, 'EX_cpd00154_e': 0.6536739717399651, 'EX_cpd08306_e': 0.6536739717401135, 'EX_cpd00164_e': 0.6536739717401135, 'EX_cpd00309_e': 0.6536739717401135, 'EX_cpd00280_e': 0.6536739717401135, 'EX_cpd00108_e': 0.6536739717401135, 'EX_cpd00159_e': 0.6536739717400774, 'EX_cpd00540_e': 0.6536739717401135, 'EX_cpd11597_e': 0.6536739717401135, 'EX_cpd08305_e': 0.6536739717401135, 'EX_cpd00396_e': 0.6536739717401135, 'EX_cpd00039_e': 0.6536739717401135, 'EX_cpd00011_e': 0.6536739717401135, 'EX_cpd00322_e': 0.7725095156019951, 'EX_cpd00111_e': 0.6536739717401135, 'EX_cpd00028_e': 0.6536739717401135, 'EX_cpd00066_e': 0.6536739717401135, 'EX_cpd01188_e': 0.6536739717401135, 'EX_cpd00357_e': 0.6536739717434987, 'EX_cpd00136_e': 0.6536739717401135, 'EX_cpd03847_e': 0.6536739717401135, 'EX_cpd01080_e': 0.6536739717401135, 'EX_cpd03422_e': 0.6536739717401135, 'EX_cpd00010_e': 0.6536739717401135, 'EX_cpd00264_e': 0.653673971740096, 'EX_cpd11606_e': 0.653673971740096, 'EX_cpd00069_e': 0.6536739717401135, 'EX_cpd00060_e': 0.6536739717401135, 'EX_cpd00305_e': 0.6536739717379237}",
B. vulgatus_gapfilled_52,"{'EX_cpd00635_e': 0.3995519428810793, 'EX_cpd00023_e': 0.3995519428970442, 'EX_cpd00224_e': 0.3995519428970442, 'EX_cpd11595_e': 0.3995519428810793, 'EX_cpd01217_e': 0.3995519428849782, 'EX_cpd00027_e': 0.3995519428821201, 'EX_cpd01171_e': 0.3995519428810793, 'EX_cpd00154_e': 0.3995519428772234, 'EX_cpd08306_e': 0.3995519428810793, 'EX_cpd00164_e': 0.3995519428810793, 'EX_cpd00309_e': 0.39955194288797213, 'EX_cpd00280_e': 0.39955194288461104, 'EX_cpd00108_e': 0.39955194288461104, 'EX_cpd00159_e': 0.39955194288623963, 'EX_cpd00540_e': 0.39955194288461104, 'EX_cpd11597_e': 0.39955194288461104, 'EX_cpd08305_e': 0.39955194288461104, 'EX_cpd00396_e': 0.39955194288461104, 'EX_cpd00039_e': 0.39955194288461104, 'EX_cpd00011_e': 0.39955194288461104, 'EX_cpd00322_e': 0.9016601964504943, 'EX_cpd00111_e': 0.39955194288461104, 'EX_cpd00028_e': 0.39955194288461104, 'EX_cpd00066_e': 0.39955194288461104, 'EX_cpd01188_e': 0.39955194288461104, 'EX_cpd00357_e': 0.39955194288523066, 'EX_cpd00136_e': 0.39955194288461104, 'EX_cpd03847_e': 0.39955194288461104, 'EX_cpd01080_e': 0.39955194288461104, 'EX_cpd03422_e': 0.39955194288461104, 'EX_cpd00010_e': 0.39955194288461104, 'EX_cpd00264_e': 0.3995519428858422, 'EX_cpd11606_e': 0.3995519428858422, 'EX_cpd00069_e': 0.39955194288461104, 'EX_cpd00060_e': 0.39955194288461104, 'EX_cpd00305_e': 0.3995519428858422}",
B. vulgatus_gapfilled_53,"{'EX_cpd00635_e': 0.9016601964437845, 'EX_cpd00023_e': 0.9016601964504943, 'EX_cpd00224_e': 0.9016601964502633, 'EX_cpd11595_e': 0.9016601964437845, 'EX_cpd01217_e': 0.9016601964461756, 'EX_cpd00027_e': 0.9016601965121414, 'EX_cpd01171_e': 0.9016601964437845, 'EX_cpd00154_e': 0.9016601965121414, 'EX_cpd08306_e': 0.9016601964521139, 'EX_cpd00164_e': 0.9016601964521139, 'EX_cpd00309_e': 0.9016601964521139, 'EX_cpd00280_e': 0.9016601964521139, 'EX_cpd00108_e': 0.9016601964521139, 'EX_cpd00159_e': 0.9016601964381475, 'EX_cpd00540_e': 0.9016601964521139, 'EX_cpd11597_e': 0.9016601964521139, 'EX_cpd08305_e': 0.9016601964521139, 'EX_cpd00396_e': 0.9016601964521139, 'EX_cpd00039_e': 0.9016601964521139, 'EX_cpd00011_e': 0.9016601964521139, 'EX_cpd00322_e': 0.9016601964482768, 'EX_cpd00111_e': 0.9016601964521139, 'EX_cpd00028_e': 0.9016601964521139, 'EX_cpd00066_e': 0.9016601964521139, 'EX_cpd01188_e': 0.9016601964521139, 'EX_cpd00357_e': 1.1883133482457249, 'EX_cpd00136_e': 0.9016601964521139, 'EX_cpd03847_e': 0.9016601964521139, 'EX_cpd01080_e': 0.9016601964521139, 'EX_cpd03422_e': 0.9016601964521139, 'EX_cpd00010_e': 0.9016601964521139, 'EX_cpd00264_e': 0.9016601964974652, 'EX_cpd11606_e': 0.9016601964974652, 'EX_cpd00069_e': 0.9016601964521139, 'EX_cpd00060_e': 0.9016601964521139, 'EX_cpd00305_e': 0.9016601964974652}",
