,Bacteroides vulgatus ATCC 8482_0.4.pkl
B. vulgatus_gapfilled_18,"{'EX_cpd00635_e': 0.3530095053774139, 'EX_cpd00023_e': 0.35300950537724024, 'EX_cpd00224_e': 0.35300950537746034, 'EX_cpd11595_e': 0.3530095053774139, 'EX_cpd01217_e': 0.3530095053776695, 'EX_cpd00027_e': 0.3530095053772871, 'EX_cpd01171_e': 0.3530095053774139, 'EX_cpd00154_e': 0.3530095053772886, 'EX_cpd08306_e': 0.3530095053773493, 'EX_cpd00164_e': 0.3530095053773493, 'EX_cpd00309_e': 0.3530095053773514, 'EX_cpd00280_e': 0.3530095053771889, 'EX_cpd00108_e': 0.3530095053773494, 'EX_cpd00159_e': 0.3530095053776312, 'EX_cpd00540_e': 0.3530095053773494, 'EX_cpd11597_e': 0.3530095053773494, 'EX_cpd08305_e': 0.3530095053773494, 'EX_cpd00396_e': 0.35300950537722015, 'EX_cpd00039_e': 0.35300950537744163, 'EX_cpd00011_e': 0.35300950537744163, 'EX_cpd00322_e': 0.8065596077417919, 'EX_cpd00111_e': 0.35300950537744163, 'EX_cpd00028_e': 0.35300950537744163, 'EX_cpd00066_e': 0.35300950537744163, 'EX_cpd01188_e': 0.35300950537744163, 'EX_cpd00357_e': 0.35300950539271764, 'EX_cpd00136_e': 0.35300950537744163, 'EX_cpd03847_e': 0.35300950537744163, 'EX_cpd01080_e': 0.35300950537744163, 'EX_cpd03422_e': 0.35300950537744163, 'EX_cpd00010_e': 0.35300950537744163, 'EX_cpd00264_e': 0.3530095053777623, 'EX_cpd11606_e': 0.3530095053777623, 'EX_cpd00069_e': 0.35300950537744163, 'EX_cpd00060_e': 0.35300950537062986, 'EX_cpd00305_e': 0.3530095053777623}"
B. vulgatus_gapfilled_19,"{'EX_cpd00635_e': 0.3080063092372526, 'EX_cpd00023_e': 0.30800630933087725, 'EX_cpd00224_e': 0.30800630933087725, 'EX_cpd11595_e': 0.3080063092372526, 'EX_cpd01217_e': 0.30800630933087725, 'EX_cpd00027_e': 0.3080063092343354, 'EX_cpd01171_e': 0.30800630923715216, 'EX_cpd00154_e': 0.30800630923715216, 'EX_cpd08306_e': 0.30800630923715216, 'EX_cpd00164_e': 0.30800630923715216, 'EX_cpd00309_e': 0.30800630923715216, 'EX_cpd00280_e': 0.30800630923715216, 'EX_cpd00108_e': 0.30800630923715216, 'EX_cpd00159_e': 0.3080063093870186, 'EX_cpd00540_e': 0.30800630923715216, 'EX_cpd11597_e': 0.30800630923715216, 'EX_cpd08305_e': 0.30800630923715216, 'EX_cpd00396_e': 0.30800630923715216, 'EX_cpd00039_e': 0.30800630923715216, 'EX_cpd00011_e': 0.30800630923715216, 'EX_cpd00322_e': 0.30800630928438677, 'EX_cpd00111_e': 0.30800630923715216, 'EX_cpd00028_e': 0.30800630923715216, 'EX_cpd00066_e': 0.30800630923715216, 'EX_cpd01188_e': 0.30800630923715216, 'EX_cpd00357_e': 0.3080063093870186, 'EX_cpd00136_e': 0.30800630923715216, 'EX_cpd03847_e': 0.30800630923284916, 'EX_cpd01080_e': 0.37351972262393074, 'EX_cpd03422_e': 0.30800630923715216, 'EX_cpd00010_e': 0.30800630923715216, 'EX_cpd00264_e': 0.30800630928438677, 'EX_cpd11606_e': 0.30800630928438677, 'EX_cpd00069_e': 0.30800630923715216, 'EX_cpd00060_e': 0.30800630923715216, 'EX_cpd00305_e': 0.30800630928438677}"
B. vulgatus_gapfilled_2,"{'EX_cpd00635_e': 0.9016601964504798, 'EX_cpd00023_e': 0.9016601964505946, 'EX_cpd00224_e': 0.9016601964514155, 'EX_cpd11595_e': 0.9016601964504798, 'EX_cpd01217_e': 0.9016601964504943, 'EX_cpd00027_e': 0.9016601964505054, 'EX_cpd01171_e': 0.9016601964504798, 'EX_cpd00154_e': 0.9016601964505118, 'EX_cpd08306_e': 0.9016601964504798, 'EX_cpd00164_e': 0.9016601964504798, 'EX_cpd00309_e': 0.9016601964504798, 'EX_cpd00280_e': 0.9016601964504798, 'EX_cpd00108_e': 0.9016601964504798, 'EX_cpd00159_e': 0.9016601964504941, 'EX_cpd00540_e': 0.9016601964504798, 'EX_cpd11597_e': 0.9016601964504798, 'EX_cpd08305_e': 0.9016601964504798, 'EX_cpd00396_e': 0.9016601964504798, 'EX_cpd00039_e': 0.9016601964504798, 'EX_cpd00011_e': 0.9016601964504798, 'EX_cpd00322_e': 0.9016601964474042, 'EX_cpd00111_e': 0.9016601964500367, 'EX_cpd00028_e': 0.9016601964504798, 'EX_cpd00066_e': 0.9016601964504798, 'EX_cpd01188_e': 0.9016601964514434, 'EX_cpd00357_e': 1.1883133482456136, 'EX_cpd00136_e': 0.9016601964504798, 'EX_cpd03847_e': 0.9016601964504798, 'EX_cpd01080_e': 0.9016601964504798, 'EX_cpd03422_e': 0.9016601964504798, 'EX_cpd00010_e': 0.9016601964504798, 'EX_cpd00264_e': 0.9016601964504798, 'EX_cpd11606_e': 0.9016601964504798, 'EX_cpd00069_e': 0.9016601964504798, 'EX_cpd00060_e': 0.9016601964504798, 'EX_cpd00305_e': 0.9016601964504798}"
B. vulgatus_gapfilled_20,"{'EX_cpd00635_e': 0.4311086526675895, 'EX_cpd00023_e': 0.43110865295694967, 'EX_cpd00224_e': 0.4311086529518418, 'EX_cpd11595_e': 0.4311086526675895, 'EX_cpd01217_e': 0.43110865295694967, 'EX_cpd00027_e': 0.4311086525295576, 'EX_cpd01171_e': 0.4311086527174151, 'EX_cpd00154_e': 0.43110865264871956, 'EX_cpd08306_e': 0.43110865271679555, 'EX_cpd00164_e': 0.43110865271679555, 'EX_cpd00309_e': 0.43110865271957544, 'EX_cpd00280_e': 0.4311086527192093, 'EX_cpd00108_e': 0.4311086527192093, 'EX_cpd00159_e': 0.4311086527682338, 'EX_cpd00540_e': 0.4311086527192093, 'EX_cpd11597_e': 0.4311086527192093, 'EX_cpd08305_e': 0.4311086527192093, 'EX_cpd00396_e': 0.4311086527192093, 'EX_cpd00039_e': 0.4311086527192093, 'EX_cpd00011_e': 0.4311086527192093, 'EX_cpd00322_e': 0.43110865272184, 'EX_cpd00111_e': 0.4311086527192093, 'EX_cpd00028_e': 0.4311086527192093, 'EX_cpd00066_e': 0.4311086527192093, 'EX_cpd01188_e': 0.4311086527192093, 'EX_cpd00357_e': 0.4311086527291568, 'EX_cpd00136_e': 0.4311086527192093, 'EX_cpd03847_e': 0.4311086527192093, 'EX_cpd01080_e': 0.9016601964503502, 'EX_cpd03422_e': 0.4311086527192093, 'EX_cpd00010_e': 0.4311086527192093, 'EX_cpd00264_e': 0.43110865272184, 'EX_cpd11606_e': 0.43110865272184, 'EX_cpd00069_e': 0.4311086527192093, 'EX_cpd00060_e': 0.4311086527192093, 'EX_cpd00305_e': 0.43110865272184}"
B. vulgatus_gapfilled_21,"{'EX_cpd00635_e': 0.11724902322199651, 'EX_cpd00023_e': 0.11724902322168027, 'EX_cpd00224_e': 0.11724902322623987, 'EX_cpd11595_e': 0.11724902322199651, 'EX_cpd01217_e': 0.11724902322219748, 'EX_cpd00027_e': 0.11724902321941609, 'EX_cpd01171_e': 0.11724902321942299, 'EX_cpd00154_e': 0.11724902322966027, 'EX_cpd08306_e': 0.11724902323358437, 'EX_cpd00164_e': 0.11724902323358437, 'EX_cpd00309_e': 0.11724902323358437, 'EX_cpd00280_e': 0.11724902323358437, 'EX_cpd00108_e': 0.11724902323358437, 'EX_cpd00159_e': 0.11724902321655634, 'EX_cpd00540_e': 0.11724902323020989, 'EX_cpd11597_e': 0.11724902323358437, 'EX_cpd08305_e': 0.11724902323358437, 'EX_cpd00396_e': 0.11724902323358437, 'EX_cpd00039_e': 0.11724902323358437, 'EX_cpd00011_e': 0.11724902323358437, 'EX_cpd00322_e': 0.11724902322208823, 'EX_cpd00111_e': 0.11724902322208823, 'EX_cpd00028_e': 0.11724902323358437, 'EX_cpd00066_e': 0.11724902322208823, 'EX_cpd01188_e': 0.11724902323358437, 'EX_cpd00357_e': 0.11724902321258567, 'EX_cpd00136_e': 0.11724902323358437, 'EX_cpd03847_e': 2.6966217948717857, 'EX_cpd01080_e': 0.11724902322208823, 'EX_cpd03422_e': 0.11724902323358437, 'EX_cpd00010_e': 0.11724902323358437, 'EX_cpd00264_e': 0.11724902321905768, 'EX_cpd11606_e': 0.11724902322208823, 'EX_cpd00069_e': 0.11724902323358437, 'EX_cpd00060_e': 0.11724902323358437, 'EX_cpd00305_e': 0.11724902322208823}"
B. vulgatus_gapfilled_22,"{'EX_cpd00635_e': 1.1883133482456145, 'EX_cpd00023_e': 1.1883133482422856, 'EX_cpd00224_e': 1.1883133482448034, 'EX_cpd11595_e': 1.1883133482456145, 'EX_cpd01217_e': 1.1883133482422856, 'EX_cpd00027_e': 1.1883133482456145, 'EX_cpd01171_e': 1.1883133482456145, 'EX_cpd00154_e': 1.1883133482456145, 'EX_cpd08306_e': 1.1883133482456145, 'EX_cpd00164_e': 1.1883133482456145, 'EX_cpd00309_e': 1.1883133482456145, 'EX_cpd00280_e': 1.1883133482456145, 'EX_cpd00108_e': 1.1883133482456145, 'EX_cpd00159_e': 1.188313348243225, 'EX_cpd00540_e': 1.1883133482456145, 'EX_cpd11597_e': 1.1883133482456145, 'EX_cpd08305_e': 1.1883133482456145, 'EX_cpd00396_e': 1.1883133482456145, 'EX_cpd00039_e': 1.1883133482456145, 'EX_cpd00011_e': 1.1883133482456145, 'EX_cpd00322_e': 1.1883133482456145, 'EX_cpd00111_e': 1.1883133482456145, 'EX_cpd00028_e': 1.1883133482456145, 'EX_cpd00066_e': 1.1883133482456145, 'EX_cpd01188_e': 2.6966217948718296, 'EX_cpd00357_e': 1.188313348245614, 'EX_cpd00136_e': 1.1883133482456145, 'EX_cpd03847_e': 1.1883133482456145, 'EX_cpd01080_e': 1.1883133482456145, 'EX_cpd03422_e': 1.1883133482456145, 'EX_cpd00010_e': 1.1883133482456145, 'EX_cpd00264_e': 1.1883133482456145, 'EX_cpd11606_e': 1.1883133482456145, 'EX_cpd00069_e': 1.1883133482456145, 'EX_cpd00060_e': 1.1883133482456145, 'EX_cpd00305_e': 1.1883133482456145}"
B. vulgatus_gapfilled_23,"{'EX_cpd00635_e': 0.8766492892759047, 'EX_cpd00023_e': 0.8766492891720038, 'EX_cpd00224_e': 0.8766492891720038, 'EX_cpd11595_e': 0.8766492892759047, 'EX_cpd01217_e': 0.8766492891720038, 'EX_cpd00027_e': 0.8766492892759047, 'EX_cpd01171_e': 0.8766492892759047, 'EX_cpd00154_e': 0.8766492892759047, 'EX_cpd08306_e': 0.8766492892759047, 'EX_cpd00164_e': 0.8766492892759047, 'EX_cpd00309_e': 0.8766492892759047, 'EX_cpd00280_e': 0.8766492892759047, 'EX_cpd00108_e': 0.8766492892759047, 'EX_cpd00159_e': 0.8766492891823208, 'EX_cpd00540_e': 0.8766492892759047, 'EX_cpd11597_e': 0.8766492892759047, 'EX_cpd08305_e': 0.8766492892759047, 'EX_cpd00396_e': 0.8766492892759047, 'EX_cpd00039_e': 0.8766492892759047, 'EX_cpd00011_e': 0.8766492891764374, 'EX_cpd00322_e': 2.1572974360116235, 'EX_cpd00111_e': 0.8766492891771528, 'EX_cpd00028_e': 0.8766492891771528, 'EX_cpd00066_e': 0.8766492891771528, 'EX_cpd01188_e': 0.8766492891771528, 'EX_cpd00357_e': 0.8766492891748752, 'EX_cpd00136_e': 0.8766492891771528, 'EX_cpd03847_e': 0.8766492891771528, 'EX_cpd01080_e': 0.8766492891771528, 'EX_cpd03422_e': 0.8766492891771528, 'EX_cpd00010_e': 0.8766492891771528, 'EX_cpd00264_e': 0.8766492911766417, 'EX_cpd11606_e': 0.8766492911766417, 'EX_cpd00069_e': 0.8766492891771528, 'EX_cpd00060_e': 0.8766492891771528, 'EX_cpd00305_e': 0.8766492911766417}"
B. vulgatus_gapfilled_24,"{'EX_cpd00635_e': 0.33385847457738654, 'EX_cpd00023_e': 0.33385847457046947, 'EX_cpd00224_e': 0.33385847457046947, 'EX_cpd11595_e': 0.33385847457738654, 'EX_cpd01217_e': 0.33385847457046947, 'EX_cpd00027_e': 0.3338584745739709, 'EX_cpd01171_e': 0.3338584745775232, 'EX_cpd00154_e': 0.3338584745775232, 'EX_cpd08306_e': 0.3338584745775232, 'EX_cpd00164_e': 0.3338584745775232, 'EX_cpd00309_e': 0.3338584745775232, 'EX_cpd00280_e': 0.3338584745679592, 'EX_cpd00108_e': 0.33385847457738654, 'EX_cpd00159_e': 0.3338584745758225, 'EX_cpd00540_e': 0.33385847457738654, 'EX_cpd11597_e': 0.33385847457738654, 'EX_cpd08305_e': 0.33385847457738654, 'EX_cpd00396_e': 0.33385847457738654, 'EX_cpd00039_e': 0.33385847457738654, 'EX_cpd00011_e': 0.33385847457738654, 'EX_cpd00322_e': 0.33385847457625606, 'EX_cpd00111_e': 0.33385847457625606, 'EX_cpd00028_e': 0.33385847457738654, 'EX_cpd00066_e': 0.33385847457625606, 'EX_cpd01188_e': 0.33385847457738654, 'EX_cpd00357_e': 0.3338584745758225, 'EX_cpd00136_e': 0.33385847457738654, 'EX_cpd03847_e': 0.9016601964505052, 'EX_cpd01080_e': 0.33385847457625606, 'EX_cpd03422_e': 0.33385847457738654, 'EX_cpd00010_e': 0.33385847457738654, 'EX_cpd00264_e': 0.33385847457625606, 'EX_cpd11606_e': 0.33385847457625606, 'EX_cpd00069_e': 0.33385847457738654, 'EX_cpd00060_e': 0.33385847459036627, 'EX_cpd00305_e': 0.33385847457625606}"
B. vulgatus_gapfilled_25,"{'EX_cpd00635_e': 0.2023866387226597, 'EX_cpd00023_e': 0.20238663871481744, 'EX_cpd00224_e': 0.20238663871481744, 'EX_cpd11595_e': 0.2023866387226597, 'EX_cpd01217_e': 0.20238663871481744, 'EX_cpd00027_e': 0.2023866387226597, 'EX_cpd01171_e': 0.2023866387226597, 'EX_cpd00154_e': 0.2023866387226597, 'EX_cpd08306_e': 0.2023866387226597, 'EX_cpd00164_e': 0.2023866387226597, 'EX_cpd00309_e': 0.2023866387226597, 'EX_cpd00280_e': 0.2023866387226597, 'EX_cpd00108_e': 0.2023866387226597, 'EX_cpd00159_e': 0.20238663871481744, 'EX_cpd00540_e': 0.2023866387226597, 'EX_cpd11597_e': 0.2023866387226597, 'EX_cpd08305_e': 0.2023866387226597, 'EX_cpd00396_e': 0.2023866387226597, 'EX_cpd00039_e': 0.2023866387226597, 'EX_cpd00011_e': 0.20238663871407692, 'EX_cpd00322_e': 0.20238663872174964, 'EX_cpd00111_e': 0.2023866387226597, 'EX_cpd00028_e': 0.2023866387226597, 'EX_cpd00066_e': 0.2023866387226597, 'EX_cpd01188_e': 0.2023866387226597, 'EX_cpd00357_e': 0.20238663871481744, 'EX_cpd00136_e': 0.2023866387226597, 'EX_cpd03847_e': 0.20238663872215482, 'EX_cpd01080_e': 0.4920628687908448, 'EX_cpd03422_e': 0.2023866387226597, 'EX_cpd00010_e': 0.2023866387226597, 'EX_cpd00264_e': 0.20238663872174964, 'EX_cpd11606_e': 0.20238663872174964, 'EX_cpd00069_e': 0.2023866387226597, 'EX_cpd00060_e': 0.2023866387226597, 'EX_cpd00305_e': 0.20238663872174964}"
B. vulgatus_gapfilled_26,"{'EX_cpd00635_e': 0.26217615834448754, 'EX_cpd00023_e': 0.2621761583575367, 'EX_cpd00224_e': 0.26217615829644736, 'EX_cpd11595_e': 0.26217615834448754, 'EX_cpd01217_e': 0.26217615817059226, 'EX_cpd00027_e': 0.26217615834600044, 'EX_cpd01171_e': 0.26217615834448754, 'EX_cpd00154_e': 0.26217615834448754, 'EX_cpd08306_e': 0.26217615834448754, 'EX_cpd00164_e': 0.26217615834448754, 'EX_cpd00309_e': 0.2621761582731537, 'EX_cpd00280_e': 0.2621761583501162, 'EX_cpd00108_e': 0.2621761583501162, 'EX_cpd00159_e': 0.26217615837166347, 'EX_cpd00540_e': 0.2621761583501162, 'EX_cpd11597_e': 0.2621761583501162, 'EX_cpd08305_e': 0.2621761583501162, 'EX_cpd00396_e': 0.2621761583501162, 'EX_cpd00039_e': 0.2621761583501162, 'EX_cpd00011_e': 0.2621761583501162, 'EX_cpd00322_e': 1.1883133482476291, 'EX_cpd00111_e': 0.2621761583501162, 'EX_cpd00028_e': 0.2621761583501162, 'EX_cpd00066_e': 0.2621761583501162, 'EX_cpd01188_e': 0.2621761583501162, 'EX_cpd00357_e': 0.2621761583641138, 'EX_cpd00136_e': 0.2621761583501162, 'EX_cpd03847_e': 0.2621761583501162, 'EX_cpd01080_e': 0.2621761583501162, 'EX_cpd03422_e': 0.2621761583501162, 'EX_cpd00010_e': 0.2621761583501162, 'EX_cpd00264_e': 0.26217615841164316, 'EX_cpd11606_e': 0.26217615841164316, 'EX_cpd00069_e': 0.2621761583501162, 'EX_cpd00060_e': 0.2621761583470578, 'EX_cpd00305_e': 0.26217615841164316}"
B. vulgatus_gapfilled_27,"{'EX_cpd00635_e': 0.7725095156019619, 'EX_cpd00023_e': 0.7725095156020404, 'EX_cpd00224_e': 0.7725095155919816, 'EX_cpd11595_e': 0.7725095156019619, 'EX_cpd01217_e': 0.7725095155922648, 'EX_cpd00027_e': 0.7725095156256976, 'EX_cpd01171_e': 0.7725095156101949, 'EX_cpd00154_e': 0.7725095156054647, 'EX_cpd08306_e': 0.7725095156045301, 'EX_cpd00164_e': 0.7725095156045301, 'EX_cpd00309_e': 0.7725095156085993, 'EX_cpd00280_e': 0.7725095156090336, 'EX_cpd00108_e': 0.7725095156090336, 'EX_cpd00159_e': 0.7725095156006133, 'EX_cpd00540_e': 0.7725095156090336, 'EX_cpd11597_e': 0.7725095156090336, 'EX_cpd08305_e': 0.7725095156090336, 'EX_cpd00396_e': 0.7725095156090336, 'EX_cpd00039_e': 0.7725095156090336, 'EX_cpd00011_e': 0.7725095156090336, 'EX_cpd00322_e': 0.7725095156019343, 'EX_cpd00111_e': 0.7725095156090336, 'EX_cpd00028_e': 0.7725095156090336, 'EX_cpd00066_e': 0.7725095156090336, 'EX_cpd01188_e': 0.7725095156169359, 'EX_cpd00357_e': 0.7725095156006133, 'EX_cpd00136_e': 0.7725095156090336, 'EX_cpd03847_e': 0.7725095156090336, 'EX_cpd01080_e': 0.7725095156019343, 'EX_cpd03422_e': 0.7725095156090336, 'EX_cpd00010_e': 0.7725095156090336, 'EX_cpd00264_e': 0.7725095155971671, 'EX_cpd11606_e': 0.7725095156019343, 'EX_cpd00069_e': 0.7725095156090336, 'EX_cpd00060_e': 0.7725095156090336, 'EX_cpd00305_e': 2.02522599773038}"
B. vulgatus_gapfilled_28,"{'EX_cpd00635_e': 0.13706827670541877, 'EX_cpd00023_e': 0.13706827662263252, 'EX_cpd00224_e': 0.1370682766601629, 'EX_cpd11595_e': 0.13706827670541877, 'EX_cpd01217_e': 0.13706827670114669, 'EX_cpd00027_e': 0.13706827670538582, 'EX_cpd01171_e': 0.13706827670541877, 'EX_cpd00154_e': 0.13706827670541877, 'EX_cpd08306_e': 0.13706827670541877, 'EX_cpd00164_e': 0.13706827670541877, 'EX_cpd00309_e': 0.13706827670540983, 'EX_cpd00280_e': 0.13706827670609428, 'EX_cpd00108_e': 0.13706827670609428, 'EX_cpd00159_e': 0.13706827670518784, 'EX_cpd00540_e': 0.13706827670609428, 'EX_cpd11597_e': 0.13706827670609428, 'EX_cpd08305_e': 0.13706827670609428, 'EX_cpd00396_e': 0.13706827670609428, 'EX_cpd00039_e': 0.13706827670609428, 'EX_cpd00011_e': 0.13706827670590033, 'EX_cpd00322_e': 0.13706827670741095, 'EX_cpd00111_e': 0.1370682767074169, 'EX_cpd00028_e': 0.13706827670518784, 'EX_cpd00066_e': 0.13706827670763122, 'EX_cpd01188_e': 0.4838136111195647, 'EX_cpd00357_e': 0.13706827671247798, 'EX_cpd00136_e': 0.13706827670518784, 'EX_cpd03847_e': 0.13706827670775534, 'EX_cpd01080_e': 0.13706827670763122, 'EX_cpd03422_e': 0.13706827670518784, 'EX_cpd00010_e': 0.13706827670518784, 'EX_cpd00264_e': 0.13706827670763122, 'EX_cpd11606_e': 0.13706827670763122, 'EX_cpd00069_e': 0.13706827670518784, 'EX_cpd00060_e': 0.13706827670518784, 'EX_cpd00305_e': 0.13706827670763122}"
B. vulgatus_gapfilled_29,"{'EX_cpd00635_e': 0.16833264633595907, 'EX_cpd00023_e': 0.1683326463006418, 'EX_cpd00224_e': 0.1683326463006418, 'EX_cpd11595_e': 0.16833264633595907, 'EX_cpd01217_e': 0.1683326463006418, 'EX_cpd00027_e': 0.16833264630448053, 'EX_cpd01171_e': 0.1683326461294444, 'EX_cpd00154_e': 0.1683326461294444, 'EX_cpd08306_e': 0.1683326461294444, 'EX_cpd00164_e': 0.1683326461294444, 'EX_cpd00309_e': 0.1683326461294444, 'EX_cpd00280_e': 0.1683326461294444, 'EX_cpd00108_e': 0.1683326461294444, 'EX_cpd00159_e': 0.16833264632489991, 'EX_cpd00540_e': 0.1683326461294444, 'EX_cpd11597_e': 0.1683326461294444, 'EX_cpd08305_e': 0.1683326461294444, 'EX_cpd00396_e': 0.1683326461294444, 'EX_cpd00039_e': 0.1683326461294444, 'EX_cpd00011_e': 0.1683326461294444, 'EX_cpd00322_e': 0.16833264630282072, 'EX_cpd00111_e': 0.1683326463019805, 'EX_cpd00028_e': 0.1683326461294444, 'EX_cpd00066_e': 0.1683326463019805, 'EX_cpd01188_e': 0.1683326461294444, 'EX_cpd00357_e': 0.16833264627060357, 'EX_cpd00136_e': 0.1683326461294444, 'EX_cpd03847_e': 0.9016601964495212, 'EX_cpd01080_e': 0.1683326463019805, 'EX_cpd03422_e': 0.1683326461294444, 'EX_cpd00010_e': 0.1683326461294444, 'EX_cpd00264_e': 0.1683326463019805, 'EX_cpd11606_e': 0.1683326463019805, 'EX_cpd00069_e': 0.1683326461294444, 'EX_cpd00060_e': 0.1683326461294444, 'EX_cpd00305_e': 0.1683326463019805}"
B. vulgatus_gapfilled_3,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964504021, 'EX_cpd00224_e': 0.9016601966739518, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601966723152, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964521376, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.1883133482466055, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}"
B. vulgatus_gapfilled_30,"{'EX_cpd00635_e': 0.551841099078498, 'EX_cpd00023_e': 0.5518410995146347, 'EX_cpd00224_e': 0.551841099514384, 'EX_cpd11595_e': 0.551841099078498, 'EX_cpd01217_e': 0.551841099512743, 'EX_cpd00027_e': 0.5518410995131086, 'EX_cpd01171_e': 0.5518410995131225, 'EX_cpd00154_e': 0.5518410995133485, 'EX_cpd08306_e': 0.5518410995131091, 'EX_cpd00164_e': 0.5518410995131091, 'EX_cpd00309_e': 0.5518410995131091, 'EX_cpd00280_e': 0.5518410995095206, 'EX_cpd00108_e': 0.5518410993999513, 'EX_cpd00159_e': 0.5518410995141054, 'EX_cpd00540_e': 0.5518410993999513, 'EX_cpd11597_e': 0.5518410993999513, 'EX_cpd08305_e': 0.5518410993999513, 'EX_cpd00396_e': 0.5518410993999513, 'EX_cpd00039_e': 0.5518410993999513, 'EX_cpd00011_e': 0.5518410993999513, 'EX_cpd00322_e': 1.1883133482454489, 'EX_cpd00111_e': 0.5518410993999513, 'EX_cpd00028_e': 0.5518410993999513, 'EX_cpd00066_e': 0.5518410993999513, 'EX_cpd01188_e': 0.5518410993999513, 'EX_cpd00357_e': 0.5518410994647992, 'EX_cpd00136_e': 0.5518410993999513, 'EX_cpd03847_e': 0.5518410993999513, 'EX_cpd01080_e': 0.5518410993999513, 'EX_cpd03422_e': 0.5518410993999513, 'EX_cpd00010_e': 0.5518410993999513, 'EX_cpd00264_e': 0.5518410995145465, 'EX_cpd11606_e': 0.5518410995145465, 'EX_cpd00069_e': 0.5518410993999513, 'EX_cpd00060_e': 0.5518410993999513, 'EX_cpd00305_e': 0.5518410995145465}"
B. vulgatus_gapfilled_31,"{'EX_cpd00635_e': 0.3116685990666512, 'EX_cpd00023_e': 0.3116685991056411, 'EX_cpd00224_e': 0.3116685990609164, 'EX_cpd11595_e': 0.3116685990666512, 'EX_cpd01217_e': 0.31166859903326627, 'EX_cpd00027_e': 0.3116685990666512, 'EX_cpd01171_e': 0.3116685990666512, 'EX_cpd00154_e': 0.3116685990666512, 'EX_cpd08306_e': 0.3116685990666512, 'EX_cpd00164_e': 0.3116685990666512, 'EX_cpd00309_e': 0.3116685990666512, 'EX_cpd00280_e': 0.3116685990666512, 'EX_cpd00108_e': 0.3116685990666512, 'EX_cpd00159_e': 0.31166859903365235, 'EX_cpd00540_e': 0.3116685990666512, 'EX_cpd11597_e': 0.3116685990666512, 'EX_cpd08305_e': 0.3116685990666512, 'EX_cpd00396_e': 0.3116685990666512, 'EX_cpd00039_e': 0.3116685990666512, 'EX_cpd00011_e': 0.3116685990666512, 'EX_cpd00322_e': 0.9016601964504928, 'EX_cpd00111_e': 0.31166859906541594, 'EX_cpd00028_e': 0.31166859906541594, 'EX_cpd00066_e': 0.31166859906541594, 'EX_cpd01188_e': 0.31166859906541594, 'EX_cpd00357_e': 0.311668599065416, 'EX_cpd00136_e': 0.31166859906541594, 'EX_cpd03847_e': 0.31166859906541594, 'EX_cpd01080_e': 0.31166859906541594, 'EX_cpd03422_e': 0.31166859906541594, 'EX_cpd00010_e': 0.31166859906541594, 'EX_cpd00264_e': 0.31166859906541744, 'EX_cpd11606_e': 0.31166859906541744, 'EX_cpd00069_e': 0.31166859906541594, 'EX_cpd00060_e': 0.31166859906541594, 'EX_cpd00305_e': 0.31166859906541744}"
